
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              新建游戏
buildtoolbar_popup_help_patrols_5  -若你解锁微观管理功能，你将有权限使用部署调度器，可以如同部署守卫的方式安排巡逻。

job_matsassigned                        已分配材料
job_matsavailable                       可用材料
job_awaitingmaterials                   等待材料
job_inprogress                          工作进行中
job_blocked                             工作（被阻挡）
job_queued                              工作（排队中）

job_failed_noroute                      无路径
job_failed_nomaterials                  无材料
job_failed_toodangerous                 太危险
job_failed_materialsbeingcarried        材料运送中

job_rightclicktocancel                  点击右键以取消
job_ftofollow							按下F以跟随
job_makehighpriority					Ctrl + 左键以"优先完成"
job_removehighpriority					Ctrl + 右键以取消"优先完成"
job_makehighpriority_mac				Alt + 左键以"优先完成"
job_removehighpriority_mac				Alt + 右键以取消"优先完成"
job_highpriority_tooltip				紧急任务
job_refundamount                        退款金额：*X

failuremessage_blocked                  被阻挡或没有视野
failuremessage_cantafford               资金不足
failuremessage_cantaffordupkeep         超出日常预算
failuremessage_maximumcountreached      已达最大可聘用人数
failuremessage_maxstaff                 员工过多


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                运载
statustoolbar_finances                  财政
statustoolbar_regime                    管制
statustoolbar_escapemap                 安保人员
statustoolbar_electricity               电力
statustoolbar_stats                     状态
statustoolbar_danger                    危险等级
statustoolbar_jobs                      工作
statustoolbar_gangs                     帮派
statustoolbar_staff                     员工
statustoolbar_research                  调查


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  图像编辑器
spritebankeditor_create                 创建
spritebankeditor_rotate                 旋转
spritebankeditor_sort                   分类
spritebankeditor_markermodetitle        标记模式


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          主菜单
codex_campaign                          剧情模式
codex_cutscenes                         过场动画
codex_qualifications                    资格
codex_load                              加载监狱
codex_loadcampaign                      加载剧情
codex_save                              保存监狱
codex_savecampaign                      保存剧情
codex_performance						性能测试
codex_developer_load                    （开发者）加载地图
codex_developer_save                    （开发者）保存地图
codex_developer_clearach                （开发者）清除成就
codex_contacts                          联系人
codex_materials                         建材
codex_play                              开始游戏
codex_polaroids                         宝丽来相片
codex_introduction                      介绍
codex_restartintroduction               重新开始介绍
codex_restartchapter                    重新开始章节
codex_help                              帮助（维基百科）
codex_opensavefolder                    打开存档文件夹
codex_options							选项
codex_nitgs								在押囚犯名录
codex_workshop							分享监狱(Steam Workshop)
codex_steamtrending                     最受欢迎的监狱 (Steam)
codex_checkforupdates                   检查更新
codex_preorder                          立刻预购
codex_termsconditions                   用户条款
codex_twitter                           推特/Twitter
codex_extras                            附加功能
codex_unlocked                          已解锁 *X/*Y
codex_mapsettings                       地图设置

codex_new                               建立新监狱
codex_new_worldsize                     世界规模
codex_new_small                         小
codex_new_medium                        中
codex_new_large                         大
codex_new_selectwarden                  选择你的典狱长
codex_new_selectgender                  选择囚犯性别

codex_options_graphics					图形
codex_options_resolution				分辨率
codex_options_resolutionauto			自动
codex_options_windowed					窗口化
codex_options_highdpi					高 DPI
codex_options_filtering					过滤
codex_options_nofiltering				关闭
codex_options_multisampled				多重采样
codex_options_supersampled				超级采样

codex_options_audio						音效
codex_options_volume					主音量
codex_options_frequency					混音频率
codex_options_swapstero					交换立体声
codex_options_dspenabled				开启音效管理器
codex_options_11khz						11025 Hz
codex_options_22khz						22050 Hz
codex_options_44khz						44100 Hz

codex_options_clocktype                 时钟类型
codex_options_clocktype_analogue        表盘时钟
codex_options_clocktype_12h             12小时制
codex_options_clocktype_24h             24小时制

codex_options_gameplay					游戏
codex_options_autosave					自动保存间隔
codex_options_renderrooms				房间网格
codex_options_apply						应用
codex_options_v2gui						2.0版本GUI界面
codex_options_zoomtomouse				滑轮缩放视野
codex_options_oneclickrapsheet			单击显示犯人详情
codex_options_disableanalytics			禁用数据收集
codex_tooltip_disableanalytics          我们收集匿名统计信息来帮助提高游戏体验。我们收集的数据存储在metrics.txt。

codex_options_language					语言

codex_options_experimental              实验性内容
codex_options_enablevbo                 启用顶点缓存

codex_nitgs_filtercaption               过滤器
codex_nitgs_filterall                   所有
codex_nitgs_filtermen                   男性
codex_nitgs_filterwomen                 女性

codex_enabled                           启用
codex_disabled                          禁用

codex_option_intake                     持续接收新囚犯
codex_tooltip_intake                    若启用，你每天都会收到随机数目的新囚犯……一直如此\n\n若禁用，你可以通过转至报告并点击囚犯栏来选择何时接收囚犯。
codex_option_fogofwar                   战争迷雾
codex_tooltip_fogofwar                  除非有警卫在此区域巡逻或区域内有闭路电视监控摄像头，否则你将无法看见监狱内部的情况
codex_option_lakes                      生成湖泊
codex_tooltip_lakes                     随机产生的湖泊会阻隔你的土地。警告：实验性功能。
codex_option_forests                    生成森林
codex_tooltip_forests                   土地上会出现森林。
codex_option_buildings                  生成建筑
codex_tooltip_buildings                 随机的遗弃建筑将出现在你的土地上，供你随意选择利用。
codex_option_failure                    失败条件
codex_tooltip_failure                   额外挑战！当你把事情搞得一团糟时（暴动暴乱、破产、过多的死亡及越狱等等）会结束游戏。
codex_option_unlimitedfunds             无限资金
codex_tooltip_unlimitedfunds            纯沙盒模式！你一开始就可以随心所欲地花钱，再也不用担心没钱或等待将来拥有更多金钱。
codex_option_gangs                      帮派
codex_tooltip_gangs                     某些囚犯将带着对帮派的忠诚进入监狱，他们会当场攻击敌对帮派成员。这是一项额外的挑战。
codex_option_events                     事件
codex_tooltip_events                    让事件在游戏中发生让你保持警觉。增加额外挑战以及不可预测性。
codex_option_weather                    天气及温度
codex_tooltip_weather                   增加天气及温度变化.或许你需要考虑为监狱提供供暖。
codex_option_enablecheats				启用工具和作弊模式
codex_tooltip_enablecheats				在本监狱启用开发者工具和作弊模式。选择后，该模式不可中途停止。同时您无法获得成就，也无法出售本监狱。

codex_option_funds                      资金
codex_tooltip_funds                     开始游戏时你将拥有这么多存款。在估值界面出售你建好的监狱来获得更多启动资金吧。

codex_transfer							移送
codex_transferring						移送中
codex_in_prison							已在当前监狱中
codex_unavailable                       性别不符无法移送
codex_useravatar                        这就是我
codex_tooltip_useravatar                把这名囚犯标记为你自己。如果你不知何故入狱了，这名囚犯就是你的写照。
codex_tooltip_flagbio                   举报此人物小传包含争议内容。

codex_workshop_current					当前监狱
codex_workshop_publish					发布此监狱
codex_workshop_update					更新
codex_workshop_play						开始游戏
codex_workshop_downloading				正在下载
codex_workshop_download_failed			下载失败
codex_workshop_publishing				发布中……
codex_workshop_new						新建
codex_workshop_title					标题
codex_workshop_desc						说明
codex_workshop_view_in_workshop			在 Steam 创意工坊中查看
codex_workshop_heading_pubed			你已发布监狱
codex_workshop_heading_subed			你点赞的监狱
codex_workshop_published_by				由 *P 发布
codex_workshop_published_by_you			由你发布
codex_workshop_published_good			监狱已发布
codex_workshop_published_good_msg		你已成功发布监狱。
codex_workshop_published_bad			发布监狱失败
codex_workshop_published_bad_msg		你的监狱未能发布。
codex_workshop_published_bad_msg_new	你的新监狱发布失败。请重试。
codex_workshop_busy						Steam正在施魔法，先等它完成再试一次。
codex_workshop_file_exists				你已经发布了一个使用此名称的监狱，请使用别的名称。
codex_workshop_generic_fail				未能发布你的监狱，请重试。
codex_workshop_download_bad				未能下载该监狱
codex_workshop_pa_workshop				打开 Prison Architect 创意工坊
codex_workshop_agreement				提交此项目表示你同意[url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]工坊服务条款[/url]。

codex_options_timelapse					录制视频

codex_timelapse_record					开始录制视频
codex_timelapse_stop					停止录制视频
codex_timelapse_camera					摄影机模式
codex_timelapse_resolution				分辨率
codex_timelapse_customresw				自定分辨率宽度
codex_timelapse_customresh				自定分辨率高度
codex_timelapse_resolution				分辨率
codex_timelapse_fps						播放速度
codex_timelapse_interval				拍摄间隔
codex_timelapse_quality					质量
codex_timelapse_unsupported				你的硬件无法开启此功能。
codex_timelapse_savesettings			保存设定

codex_timelapse_cam_zoom                缩放摄影机
codex_timelapse_cam_fitmap              适合地图
codex_timelapse_cam_fitheight           适合地图高度
codex_timelapse_cam_fitwidth            适合地图宽度
codex_timelapse_fps_value               *X FPS
codex_timelapse_quality_high            高
codex_timelapse_quality_med             中
codex_timelapse_quality_low             低
codex_timelapse_interval_value          *X 游戏分钟

codex_performance_running				正在执行性能测试
codex_performance_time					时间剩余： *T 秒
codex_performance_current				当前帧时间： *T 毫秒
codex_performance_min					最小帧时间： *T 毫秒
codex_performance_avg					平均帧时间： *T 毫秒
codex_performance_max					最大帧时间： *T 毫秒
codex_performance_numframes				帧数: *T

codex_last_modified						最后修改：*T
codex_sortbydesc						按日期排序
codex_sortname							名称
codex_sortdate							日期
codex_apply								应用
codex_select                            选择

codex_mods								模组
codex_mod_activetitle					激活的模组
codex_mod_inactivetitle					可用的模组
codex_mod_deactivate					停用所有模组
codex_mod_wiki							查找更多模组（维基百科）
codex_mod_openmodsfolder				打开模组文件夹
codex_mod_moresteammods					查找更多模组（Steam 创意工坊）
codex_mod_findsteamtranslations         查找更多译文（Steam 创意工坊）
codex_authortitle                       作者
codex_versiontitle                      版本
codex_datetitle                         日期
codex_urltitle                          URL
codex_typetitle							类型
codex_mod_graphicsandsound				图形和声音
codex_mod_translation					译文
codex_mod_scenario						场景
codex_mod_content						内容
codex_mod_load_scenario					开始此场景
codex_publishmod						发布此模组

codex_mod_update						更新此模组
codex_mod_published_good				已发布模组
codex_mod_published_good_msg			你已成功发布模组。
codex_mod_published_bad					发布模组失败
codex_mod_published_bad_msg				你的模组发布失败。
codex_mod_modsupdated					模组已更新
codex_mod_modsupdated_msg				某些你的已激活模组已经更新，点击确定应用新的变更。游戏会自动保存。
codex_mod_translationcaption            这是另一种语言的译文吗？

codex_language                          语言
codex_language_englishdefault           英语（默认）
codex_language_default                  默认语言
codex_language_download                 下载
codex_language_failed_download          未能下载译文
codex_language_failed_download_msg      未能下载你所选的译文。
codex_language_searching_workshop       搜索 Steam 创意工坊
codex_language_community                这些译文包由社区创建并维护——谢谢你!

codex_save_confirm                      你确定要用当前监狱覆盖 *X 吗？
codex_researtchapter_confirm            你确定要重新开始当前章节吗？未保存的进度将会丢失。

codex_premadeprisons                    预设监狱载入

codex_trending_more                     ...
codex_sortbycaption                     分类方式:
codex_trending_oneday                   一天
codex_trending_oneweek                  一周
codex_trending_threemonths              三个月
codex_trending_sixmonths                半年
codex_trending_oneyear                  一年
codex_trending_alltime                  从发布至今
codex_trending_failedtogetlist          获取名单失败
codex_trending_failedtogetlist_msg      获取名单失败

codex_settings                          地图设置
codex_settings_gangs                    启用帮派
codex_settings_events                   启用事件
codex_settings_weather                  启用天气
codex_settings_confirm                  一旦启用，游戏过程中将无法关闭. 请问是否要启用 *X?

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					你想要保存这些图形选项吗？这些改变即将在
graphicschange_time						秒内还原。
graphicschange_accept					接受
graphicschange_revert					还原

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    脚本调试器 (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   发现模组变动
modnotification_info                    保存当前监狱时正在使用以下模组。强烈建议\n在玩此监狱前下载并激活这些模组。
modnotification_playnow                 开始游戏
modnotification_active                  激活
modnotification_inactive                停用
modnotification_new                     新建游戏
modnotification_unknown                 未知
modnotification_popup_title             模组变动
modnotification_popup_active            模组当前已激活。点击以停用。
modnotification_popup_inactive          模组当前已停用。点击以激活。
modnotification_popup_new_url           这是一个新模组。点击在网页浏览器中打开其链接。
modnotification_popup_new_steam         这是一个新的 Steam 模组。点击立即订阅并下载模组。
modnotification_popup_unknown           我们无法确定此模组的来源。请你自行查找并安装此模组。

# =============================================================================
# Biography
# =============================================================================

biography_search                        停止并搜索
biography_selected                      已选择
biography_prisoner_name                 *S, *F
biography_prisoner_number               囚犯 #*X
biography_prisoner_age                  年龄：*X
biography_prisoner_traits               特征：
biography_prisoner_convicted            被控 *C（认罪 *P）
biography_prisoner_sentenced            被判 *X 年刑期
biography_parole_now                    现在有资格申请假释
biography_parole_later                  可在 *X 年后申请假释
biography_prisoner_served               已服刑 *X 年
biography_prisoner_priors               前科：


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							年龄：
rapsheet_category						类别：
rapsheet_traits							已知特征：
rapsheet_conviction_text				*C - *Y 年
rapsheet_found_text						（抗辩： *P ）
rapsheet_convictions					定罪
rapsheet_misconductstitle				近期不当行为
rapsheet_biography                      人物小传
rapsheet_guilty							认罪
rapsheet_notguilty						不认罪
rapsheet_served							已服刑
rapsheet_served_time					已服刑 *Y 年
rapsheet_time							*Y 年
rapsheet_bio							因 *A 被判 *Y 年徒刑。
rapsheet_bio_med						因 *A 和 *B 数罪并罚，被判 *Y 年徒刑。
rapsheet_bio_long						因 *A ， *B 和 *C 数罪并罚，被判 *Y 年徒刑。
rapsheet_category_minsec				轻刑犯
rapsheet_category_normal				普通犯
rapsheet_category_maxsec				重刑犯
rapsheet_category_protected             重点保护
rapsheet_category_supermax              超重刑犯
rapsheet_category_deathrow              死刑犯
rapsheet_tab_biography                  人物小传
rapsheet_tab_experience                 经历
rapsheet_tab_grading                    评级
rapsheet_tab_character                  性格
rapsheet_punish                         惩罚
rapsheet_recruit                        招募为线人

rapsheet_timeinside                     在你的监狱度过了 *X 天
rapsheet_timeinside_hours               在你的监狱度过了 *X 小时
rapsheet_mood                           情绪
rapsheet_activity                       活动
rapsheet_condition                      状况
rapsheet_program                        参与方案
rapsheet_passchance                     成功几率
rapsheet_reformhistory                  改造方案纪录

rapsheet_reform_success                 成功
rapsheet_reform_successcount            完成了 *X 次
rapsheet_reform_failed                  失败
rapsheet_reform_failcount               失败了 *X 次

rapsheet_grading_punishment             惩罚
rapsheet_grading_health                 健康
rapsheet_grading_security               安保
rapsheet_grading_reform                 改造
rapsheet_grading_points                 *X 积分：
rapsheet_grading_penalties              *X 惩罚：

rapsheet_scheduleexecution              安排行刑


punish_lockdown_6                       禁足 (6小时)
punish_lockdown_12                      禁足 (12小时)
punish_lockdown_24                      禁足 (24小时)
punish_solitary_6                       关禁闭 (6小时)
punish_solitary_12                      关禁闭 (12小时)
punish_solitary_24                      关禁闭 (24小时)
punish_solitary_perm                    关禁闭（无限期）
punish_lockdown_perm                    禁足（无限期）
punish_solitary                         关禁闭
punish_lockdown                         禁足
punish_none                             无
punish_timer                            *X小时 *Y分钟
punish_timer_minutes                    *X分钟
punish_active                           执行中
punish_permanent                        （无限期）
punish_end                              结束惩罚

punish_up								上升
punish_down								下降
punish_setmin							最低
punish_setmed							普通
punish_setmax							最高
punish_setsuper							超高

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  无
misconduct_reporttype_complaint             抱怨
misconduct_reporttype_destruction           毁坏公物
misconduct_reporttype_escapeattempt         尝试越狱
misconduct_reporttype_injuredprisoner       攻击囚犯
misconduct_reporttype_injuredstaff          攻击员工
misconduct_reporttype_seriousinjury         重伤他人
misconduct_reporttype_murder                谋杀
misconduct_reporttype_contrabandweapons     私藏武器
misconduct_reporttype_contrabandtools       私藏工具
misconduct_reporttype_contrabandnarcotics   私藏毒品
misconduct_reporttype_contrabandluxuries    私藏违禁品
misconduct_reporttype_intoxicated           吸毒
misconduct_title                             =[不当行为]=
misconduct_totalitems						（及其他*X项 ）

misconduct_report_addiction                 对 *X 上瘾
misconduct_report_recoving                  正在戒掉 *X
misconduct_report_alcoholic                 酗酒
misconduct_report_recovingalcoholic         正在戒酒


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       你需要 *X 来编制这份报告
research_requireunlock                  你需要研究“ *X ”来解锁此报告
research_approved                       已批准
research_cost                           费用：*X
research_costperitem                     + *X 每件。
research_timetounlock                   解锁时间：*X小时
research_movementpenalty                移动速度减慢：*X%
research_protectionbonus                保护：*X%
research_tap_to_authorise               轻按以授权

research_none                           无
research_warden                         典狱长
research_maintainance                   维护
research_security                       安保人员
research_legal                          法务
research_mentalhealth                   心理
research_finance                        财政
research_landexpansion                  土地扩张
research_cctv                           监控
research_riotguards                     防暴警卫
research_health                         健康
research_cleaning                       清洁
research_groundskeeping                 园艺
research_clone                          克隆
research_deployment                     部署
research_patrols                        巡逻
research_dogs                           警犬
research_prisonlabour                   狱中劳役
research_education                      教育
research_contraband                     情报
research_policy                         监狱政策
research_armoury                        军械库
research_bodyarmour                     护甲
research_tazers                         电击枪
research_tazersforeveryone              列装电击枪
research_bankloans                      银行贷款
research_lowertaxes1                    税收减免
research_lowertaxes2                    离岸避税天堂
research_remoteaccess                   远程存取
research_extragrant                     额外拨款
research_advancedmanagement             微观管理
research_deathrow                       死刑犯
research_permanentpunishment            永久性惩罚
research_removemincellsize              小牢房
research_reduceexecutionliability       减少行刑责任
research_legalprep                      法律筹备
research_legaldefense                   法律辩护
research_guardtowers                    警戒塔

researchtooltip_warden                  解锁典狱长和整个监狱行政系统。打开员工工具栏来聘用典狱长。\n\n与其他管理者相同，需要为典狱长提供办公室。
researchtooltip_security                解锁安保主管，可以从员工工具栏聘用。主管可解锁部署界面，并且可以提供监狱风险等级的实时报告，可预测潜在安全隐患。\n\n与其他管理者相同，需要为安保主管提供办公室。
researchtooltip_maintenance             解锁工头。可以从员工工具栏聘用。\n\n与其他管理者相同，需要为工头提供办公室。
researchtooltip_legal                   解锁律师，可以从员工工具栏聘用。解锁多个调查选项以扩大你对监狱的控制权。\n\n与其他管理者相同，需要为律师提供办公室。
researchtooltip_deployment              使你可以永久性指派警卫到监狱特定区域站岗。
researchtooltip_patrols                 使你可以在监狱重点区域（例如外围）制定巡逻路线，并分配警卫按照该路线巡逻。
researchtooltip_dogs                    解锁警犬训练员和警犬。警犬可以轻易凭借嗅觉找出违禁物及越狱地道。\n\n警犬出色的速度使其可以轻松追捕逃犯。
researchtooltip_cctv                    解锁闭路电视监控摄像头及监视器。使用这些设备来监视没有警卫警戒的区域。\n\n同时解锁电话监听系统，使你可以监听囚犯打出的电话以获取重要情报。
researchtooltip_remoteaccess            解锁远程操控和自动门禁等高科技设备。你可以使用控制系统远程开门（由一名警卫操作），或者在每天特定时刻由门禁定时器打开。
researchtooltip_riotguards              （目前暂时无用）\n 解锁“防暴警卫”，这些武装人员能更好地处置暴力事件。
researchtooltip_maintainance            解锁工头。工头使你可以进一步调查狱中劳役等事宜或园丁等额外员工。\n\n与其他管理者相同，需要为工头提供办公室。
researchtooltip_clone                   解锁主工具栏上的克隆工具。使用此工具可快速复制监狱区域，如牢房。\n\n你需要选择一个区域，然后点击鼠标右键拖动复制，最后左键点击你要粘贴的位置。
researchtooltip_groundskeeping          解锁“园丁”，他将使室外区域保持整洁。
researchtooltip_cleaning                解锁“清洁工”，他将清洁监狱的所有室内区域，也可协助监狱洗衣服务。
researchtooltip_health                  解锁“医生”以及“医务室”和“停尸房”。受伤的囚犯和员工会被带到医务室，医生会为其包扎治疗。
researchtooltip_MentalHealth            解锁心理医生，可在任何时候为你提供宝贵的囚犯心理状态分析。\n\n与其他管理者相同，需要为心理医生提供办公室。
researchtooltip_finance                 解锁会计师，使你可以查看监狱的财务报告。\n\n如果你有足够的资金储备，还将使你每天能够使用超出收入水平的资金。\n\n与其他管理者相同，需要为会计师提供办公室。
researchtooltip_landexpansion           授权你购买临近的地块，从而拓展监狱的规模，超越其原始边界。
researchtooltip_prisonlabour            允许你让囚犯在监狱内工作（做饭、清洁等等）可以帮你减少所需的工资开支、帮你赚钱，同时给囚犯们教授新技能。\n\n也可解锁工坊和洗衣房。
researchtooltip_education               解锁为囚犯们实行教育改造方案的能力。使用外部教师进行改造。
researchtooltip_contraband              训练警卫，提高其追踪并追回违禁品的能力。解锁违禁品供需报告，违禁品分布图（显示监狱内所有可能发生盗窃的地方），并将所有遭盗窃的违禁品追回置于其被盗地点。\n\n也可解锁将囚犯招募为秘密线人的能力。\n\n还可解锁帮派情报视图。
researchtooltip_policy                  解锁政策报告，令你可以增加或减少针对所有不当行为的处罚量，并自行触发搜查举止不当的囚犯及其牢房的能力。\n\n还可使你控制营养政策，变更给囚犯们提供的食物的数量和种类。
researchtooltip_armoury                 解锁军械库，使你可以在监狱内部署武装警卫。
researchtooltip_bodyarmour              为所有警卫、武装警卫和警犬训练员配备护甲。护甲可以降低警卫在打斗中受到的伤害，但是会降低其移动速度。\n\n警卫们必须前往军械库获取装备，你需要付钱购买所有以这种方式装备的护甲。
researchtooltip_tazers                  使你的武装警卫能够装备电击枪，电击枪是一种非常有效的单发武器，可以在一瞬间将多数目标电晕。电击枪击发一次后需要整整一个小时来充电。\n\n穿护甲的警卫们必须前往军械库获取装备，你需要付钱购买每一把以这种方式装备的电击枪。
researchtooltip_tazersforeveryone       拓展电击枪方案，使普通警卫和警犬训练员也可装备电击枪防御。\n\n他们必须前往军械库获取装备，你需要付钱购买每一把以这种方式装备的电击枪。
researchtooltip_bankloans               使你能够从银行借贷大笔款项，但需每天支付利息。偿还贷款会提高你的信用评级并使你将来能够进行更大额度的贷款。
researchtooltip_lowertaxes1             利用政府税收激励措施并将联邦监狱税率降至15%。\n\n每10,000美元的每日利润能够节省1,500美元的税费。
researchtooltip_lowertaxes2             你的会计师将规则运用到极致，把你的所有官方账户和业务流程转移至享有超高优惠税率的外国。 你联邦监狱税义务将会降到1%。\n\n每10,000美元的每日利润就能节省 3,000美元的税费。
researchtooltip_extragrant              让你能够同时接受3笔补助而不是2笔。
researchtooltip_advancedmanagement      提供工具使你能够对监狱进行微观管理，令其各部分满足你的细致要求。\n\n解锁食物后勤管理，让你能够指定每个餐厅的对应厨房，以及餐厅对应的囚犯。与之相似，洗衣后勤管理使你能够规划每个牢房区块对应的洗衣房。\n\n还可解锁部署调度器，使你能够定制警卫一天内不同时间段的部署。\n\n解锁改造方案调度器，使你能够手动更改日常方案安排。
researchtooltip_permanentpunishment     有时候即使将囚犯关进监狱也是不够的。你的律师可以通过提交一些文件将一名囚犯永久关在牢房里。
researchtooltip_removemincellsize       通常牢房要达到一定尺寸以满足法定标准。试想一下，如果不限定尺寸你可以建立多少牢房！移除标准牢房的最小尺寸要求。
researchtooltip_reduceexecutionliability 你的律师在进行游说，希望在正常启动死刑程序之前降低所需的定罪力度。在你无需承担责任安排行刑之前从本质上降低囚犯的上诉数量。
researchtooltip_legalprep               每个监狱都时常出现问题，某些问题可能会带来严重的法律后果。一旦出事，律师可以通过准备必要的文件来减轻压力，不过这需要提前准备。
researchtooltip_legaldefense            你处境不妙——事态极其糟糕，你已经被警告。如果你无力摆平这种情况，或许可以让律师助你脱困。完成此项调查来移除已收到的所有可能导致你被解雇的警告。
researchtooltip_guardtowers             解锁警戒塔与狙击手。允许你雇佣一名无情的狙击手，在警戒塔上密切注视着你的监狱\n\n狙击手需要通过军械库来获取狙击枪，否则他将无法工作。

research_legaldefense_adviser1          似乎你的律师准备了一些文件帮你撇清了干系。我是没法解雇你了。但仅限这次。
research_legaldefense_adviser2          迅速让监狱恢复秩序，并确保其正常运作。这些小把戏不会每次都成功，无法永远保护你。

research_missingadministrator           需要：



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                需要：
roomrequirement_recommended             推荐：
roomrequirement_minimumsize             最小尺寸 *W x *H
roomrequirement_minimumsize_short		尺寸 *W x *H
roomrequirement_indoor                  室内
roomrequirement_outdoor                 室外
roomrequirement_solidground             坚固的地面
roomrequirement_secure                  安全（至少有一扇门）
roomrequirement_secure_short			安全
roomrequirement_enclosed                封闭（四周是围墙和门）
roomrequirement_enclosed_short			封闭
requirement_entrance                    需要入口
roomrequirement_title                    =[房间要求]=
roomrequirement_passed                  [满足]
roomrequirement_failed                  [未满足]
roomrequirement_adjacentobject          相邻房间：

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            已解锁

unlock_special_electricity              电力系统
unlock_special_food                     食物准备
unlock_special_officersafety            警官安全
unlock_special_misbehavior              不当行为
unlock_special_accounting               会计
unlock_special_gangs                    帮派

unlock_electricity_caption              使你能够建造电站和电线，为所有需要用电的设备提供电力。


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       点击继续……
incoming_call                           来电……

adviser_name_unknown                    未知
adviser_name_ceo                        首席执行官
adviser_name_warden                     典狱长
adviser_name_governer                   州长
adviser_name_chief                      安保主管
adviser_name_doctor                     医生
adviser_name_kingpin                    领袖
adviser_name_edwardshooter              爱德华
adviser_name_edwardsinner               爱德华
adviser_name_edwardinmate               爱德华
adviser_name_edwardswife                爱德华的妻子苏珊
adviser_name_priest                     牧师
adviser_name_newsreader                 CNDC新闻
adviser_name_mayor 						卡尔文•海勒市长


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            员工
report_prisoners                        囚犯
report_jobs                             工作
report_needs                            需求
report_threats                          威胁
report_regime                           管制
report_policy                           政策
report_grants                           补助
report_finance                          财政
report_valuation                        估价
report_contraband                       违禁品
report_programs                         方案
report_schedule                         计划表
report_intake                           接收

report_grants_bankloan                  银行贷款
report_grants_bankloan_text             你可以从银行获得一大笔贷款。银行将每天收取利息，你必须通过每日拨款收入支付。\n\n按时还款会使你的信用评级逐渐提高，银行会愿意贷给你更多的钱。\n反之如果你错过还款，你的信用评级将会降低，当你下次需要贷款时可能遭到银行拒绝你\n\n注意：靠支付每日利息是无法还清贷款的。
report_grants_max1                      你每次只能接受一项补助。\n让会计师来解除限制。
report_grants_max2                      你每次只能接受不超过两项补助。\n让会计师来解除限制。
report_grants_max3                      你每次只能接受不超过三项补助。
report_grants_bankloan_amount           当前银行贷款：*X
report_grants_bankloan_interest         利息：*X每天
report_grants_bankloan_max              最高贷款额度：*X
report_grants_creditrating              你的信用评级：*X
report_grants_inprogress_tt             (进行中)
report_grants_completed_tt              (已完成)
report_grants_locked_tt                 (未解锁)
report_grants_advancepayment            *X 预付款
report_grants_completionbonus           *X 完成奖励
report_grants_objectives                [目标]
report_grants_prereqs                   [前提条件]
report_grants_completed                 已完成
report_grants_locked                    未解锁
report_grants_inprogress                进行中
report_grants_hidden                    ( *X 项以上隐藏)
report_grants_taptoaccept               轻按以接受
report_grants_cancelfee                 取消费用：*X

report_staff_title                      总员工数：*X
report_prisoners_title                  总囚犯数：*X
report_staff_group_builders             工人
report_staff_group_guards               警卫
report_staff_group_staff                员工
report_staff_group_administrators       管理者
report_staff_group_prisoners            囚犯
report_staff_group_prisoners_high       高风险
report_staff_group_prisoners_normal     中风险
report_staff_group_prisoners_low        低风险
report_staff_group_prisoners_protected  重点保护
report_staff_group_prisoners_supermax   超重刑犯
report_staff_group_prisoners_deathrow   死刑犯

report_staff_fire                       开除

report_intake_title                     接收
report_intake_catheader_cat             类别
report_intake_catheader_pay             费用
report_intake_catheader_available       名额
report_intake_catheader_amount          比例
report_intake_next_header               下一批接收：*X
report_intake_cat_minsec                轻刑犯
report_intake_cat_normal                普通犯
report_intake_cat_maxsec                重刑犯
report_intake_cat_deathrow              死刑犯
report_intake_slider_minsec             调整轻刑犯接收比例
report_intake_slider_normal             调整普通犯接收比例
report_intake_slider_maxsec             调整重刑犯接收比例
report_intake_slider_deathrow           调整死刑犯接收比例
report_intake_closed                    关闭
report_intake_locked                    锁定
report_intakeclosed                     停止接收囚犯
report_intakeclosed_tooltip             你已经停止继续接受囚犯
report_intakemaxperdaydesc              每日新接收人数
report_intakemaxperdaydesc_tooltip      你希望下一批接收的囚犯总数
report_intakenumperday                  每日接收
report_intakenumperday_tooltip          每日你希望接收的囚犯数量\n\n你可以增加或者减少你希望在下次囚犯到来时接收的囚犯数\n\n不同类别的囚犯数量可通过滑动条来调整。
report_intaketotalprisoners             计划接收
report_intaketotalprisoners_tooltip     接受定量囚犯，使得囚犯总人数达到你设定的这个值。
